Name,coord_N,coord_W
Carrie Bow Cay Outer,16.80006,-88.079029
Cat Caye,16.66,-88.185
Fisherman's Caye,16.67451,-88.189691
Manatee Caye,16.663551,-88.191881
Peter Douglas Caye,16.708491,-88.172794
Spruce Caye,16.723846,-88.157378
Blue Ground,16.814762,-88.142187
Bread and Butter Caye,16.77096,-88.16366
Wee Wee Caye,16.765952,-88.141095
Halfway to Tobacco,16.849201,-88.073159
Tobacco Caye,16.895133,-88.06139
Laughing Bird Caye NP,16.44318,-88.19618
Dale's Reef,16.48726,-88.27183
Saddle Caye,16.51037,-88.25462
Romantic Pool,NA,NA
Little Cat Cay,16.654326,-88.200755
