CHROM	START	END
LG01	2172362	2202362
LG01	6004568	6034568
LG01	11874693	11904693
LG01	13606856	13636856
LG01	13754461	13784461
LG01	14104268	14134268
LG01	19509021	19539021
LG01	23586877	23616877
LG02	1099515	1129515
LG02	3829812	3859812
LG02	6203216	6233216
LG02	12097823	12127823
LG02	13239038	13269038
LG02	14560746	14590746
LG02	19170062	19200062
LG02	22486278	22516278
LG02	23974987	24004987
LG02	24232673	24262673
LG02	29329475	29359475
LG02	29832225	29862225
LG03	2502182	2532182
LG03	4994285	5024285
LG03	11842846	11872846
LG03	14988434	15018434
LG03	16156006	16186006
LG03	16166987	16196987
LG03	17307116	17337116
LG03	17916526	17946526
LG03	19202254	19232254
LG03	20446130	20476130
LG03	21326824	21356824
LG03	21613513	21643513
LG04	700057	730057
LG04	4378668	4408668
LG04	8210358	8240358
LG04	13512373	13542373
LG04	17751026	17781026
LG04	22324327	22354327
LG04	22618271	22648271
LG05	1015638	1045638
LG05	2678733	2708733
LG05	4045470	4075470
LG05	4502723	4532723
LG05	8868135	8898135
LG05	9143072	9173072
LG05	16121792	16151792
LG05	17325185	17355185
LG05	17958358	17988358
LG05	20627559	20657559
LG06	4260633	4290633
LG06	6242281	6272281
LG06	9220382	9250382
LG06	11127039	11157039
LG06	18681034	18711034
LG06	20709240	20739240
LG06	23478289	23508289
LG07	1989713	2019713
LG07	4080966	4110966
LG07	8873551	8903551
LG07	9320023	9350023
LG07	9694683	9724683
LG07	18155104	18185104
LG07	19903720	19933720
LG07	21081793	21111793
LG08	2411561	2441561
LG08	10845517	10875517
LG08	17171430	17201430
LG08	19621622	19651622
LG08	22595548	22625548
LG08	24169595	24199595
LG09	3270730	3300730
LG09	15295809	15325809
LG09	19058452	19088452
LG09	23291686	23321686
LG10	4796294	4826294
LG10	8497302	8527302
LG10	8643746	8673746
LG10	9580545	9610545
LG10	15635891	15665891
LG11	762218	792218
LG11	1800696	1830696
LG11	1969122	1999122
LG11	4427323	4457323
LG11	5618838	5648838
LG11	6571641	6601641
LG11	8129378	8159378
LG11	9641954	9671954
LG11	13392294	13422294
LG11	19279271	19309271
LG12	809916	839916
LG12	2899577	2929577
LG12	13033311	13063311
LG12	14540667	14570667
LG12	18165409	18195409
LG12	21359464	21389464
LG12	23185241	23215241
LG12	23750048	23780048
LG13	2976470	3006470
LG13	8688352	8718352
LG13	9596264	9626264
LG13	10659129	10689129
LG13	15050961	15080961
LG13	26601982	26631982
LG14	1104186	1134186
LG14	1308568	1338568
LG14	4063846	4093846
LG14	4237848	4267848
LG14	11675962	11705962
LG14	13704853	13734853
LG14	14429960	14459960
LG14	14867136	14897136
LG14	18200765	18230765
LG14	18291675	18321675
LG14	19699085	19729085
LG14	21302060	21332060
LG15	9591	39591
LG15	60984	90984
LG15	501127	531127
LG15	2177510	2207510
LG15	7313540	7343540
LG15	10160589	10190589
LG15	10630728	10660728
LG15	13683734	13713734
LG15	14809019	14839019
LG15	17518127	17548127
LG15	18762509	18792509
LG15	19486210	19516210
LG15	19706715	19736715
LG16	5272334	5302334
LG16	6051105	6081105
LG16	7073978	7103978
LG16	12326848	12356848
LG16	13805308	13835308
LG16	15047035	15077035
LG16	18085033	18115033
LG16	18391168	18421168
LG16	19589065	19619065
LG16	19590834	19620834
LG16	22827905	22857905
LG16	23723016	23753016
LG17	499143	529143
LG17	873926	903926
LG17	3343436	3373436
LG17	3447646	3477646
LG17	5947025	5977025
LG17	6685695	6715695
LG17	9743658	9773658
LG17	10312794	10342794
LG17	11601879	11631879
LG17	14340485	14370485
LG17	21229438	21259438
LG17	21878673	21908673
LG17	26430405	26460405
LG18	791887	821887
LG18	4254044	4284044
LG18	4338785	4368785
LG18	7959860	7989860
LG18	13431722	13461722
LG18	14060583	14090583
LG18	16701642	16731642
LG18	18467889	18497889
LG18	18706640	18736640
LG18	19104017	19134017
LG19	3466984	3496984
LG19	4340789	4370789
LG19	7980948	8010948
LG19	10495511	10525511
LG19	16739881	16769881
LG19	25422777	25452777
LG20	1857161	1887161
LG20	6017413	6047413
LG20	10817784	10847784
LG20	12079994	12109994
LG20	12880124	12910124
LG20	16195493	16225493
LG20	18269470	18299470
LG20	21252557	21282557
LG21	13522615	13552615
LG21	16004098	16034098
LG21	19348903	19378903
LG22	4561531	4591531
LG22	5551354	5581354
LG22	5603291	5633291
LG22	8003505	8033505
LG22	10401241	10431241
LG22	11733758	11763758
LG23	412826	442826
LG23	2967392	2997392
LG23	3712649	3742649
LG23	5968501	5998501
LG23	11662399	11692399
LG23	11766696	11796696
LG23	13571077	13601077
LG24	194925	224925
LG24	1300555	1330555
LG24	1772134	1802134
LG24	2253949	2283949
LG24	2439915	2469915
LG24	9267498	9297498
LG24	11753575	11783575
